Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-01,Andaman and Nicobar Islands,7621,7484,129,0,554312
2021-10-02,Andaman and Nicobar Islands,7622,7484,129,0,556135
2021-10-03,Andaman and Nicobar Islands,7623,7485,129,0,557749
2021-10-04,Andaman and Nicobar Islands,7624,7485,129,0,559092
2021-10-05,Andaman and Nicobar Islands,7626,7488,129,0,560925
2021-10-06,Andaman and Nicobar Islands,7627,7488,129,0,562716
2021-10-07,Andaman and Nicobar Islands,7629,7489,129,0,564433
2021-10-08,Andaman and Nicobar Islands,7629,7490,129,0,565922
2021-10-09,Andaman and Nicobar Islands,7632,7492,129,0,567652
2021-10-10,Andaman and Nicobar Islands,7633,7494,129,0,569082
2021-10-11,Andaman and Nicobar Islands,7634,7495,129,0,570492
2021-10-12,Andaman and Nicobar Islands,7635,7498,129,0,572193
2021-10-13,Andaman and Nicobar Islands,7637,7499,129,0,573798
2021-10-14,Andaman and Nicobar Islands,7640,7501,129,0,575298
2021-10-15,Andaman and Nicobar Islands,7641,7503,129,0,576761
2021-10-16,Andaman and Nicobar Islands,7641,7503,129,0,577703
2021-10-17,Andaman and Nicobar Islands,7642,7505,129,0,579071
2021-10-18,Andaman and Nicobar Islands,7642,7506,129,0,580274
2021-10-19,Andaman and Nicobar Islands,7646,7509,129,0,581843
2021-10-20,Andaman and Nicobar Islands,7646,7510,129,0,583314
2021-10-21,Andaman and Nicobar Islands,7646,7510,129,0,584772
2021-10-22,Andaman and Nicobar Islands,7646,7511,129,0,586240
2021-10-23,Andaman and Nicobar Islands,7648,7511,129,0,587939
2021-10-24,Andaman and Nicobar Islands,7648,7513,129,0,589097
2021-10-25,Andaman and Nicobar Islands,7648,7514,129,0,590432
2021-10-26,Andaman and Nicobar Islands,7648,7515,129,0,591576
2021-10-27,Andaman and Nicobar Islands,7650,7516,129,0,592748
2021-10-28,Andaman and Nicobar Islands,7651,7516,129,0,594049
2021-10-29,Andaman and Nicobar Islands,7651,7517,129,0,595397
2021-10-30,Andaman and Nicobar Islands,7651,7518,129,0,596657
2021-10-31,Andaman and Nicobar Islands,7651,7518,129,0,598033
