Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-01,Delhi,1438900,1413404,25087,0,27737167
2021-10-02,Delhi,1438933,1413462,25088,0,27805529
2021-10-03,Delhi,1438966,1413492,25088,0,27856160
2021-10-04,Delhi,1439000,1413514,25088,0,27890198
2021-10-05,Delhi,1439027,1413590,25088,0,27945735
2021-10-06,Delhi,1439053,1413611,25088,0,28012417
2021-10-07,Delhi,1439097,1413626,25088,0,28076496
2021-10-08,Delhi,1439136,1413649,25088,0,28143702
2021-10-09,Delhi,1439166,1413701,25088,0,28206152
2021-10-10,Delhi,1439195,1413759,25089,0,28265141
2021-10-11,Delhi,1439218,1413760,25089,0,28311984
2021-10-12,Delhi,1439252,1413798,25089,0,28373078
2021-10-13,Delhi,1439283,1413856,25089,0,28438626
2021-10-14,Delhi,1439311,1413885,25089,0,28499638
2021-10-15,Delhi,1439337,1413921,25089,0,28559291
2021-10-16,Delhi,1439358,1413943,25089,0,28608161
2021-10-17,Delhi,1439390,1413981,25089,0,28653028
2021-10-18,Delhi,1439405,1414018,25089,0,28697767
2021-10-19,Delhi,1439441,1414029,25090,0,28756046
2021-10-20,Delhi,1439466,1414066,25090,0,28812339
2021-10-21,Delhi,1439488,1414087,25090,0,28854902
2021-10-22,Delhi,1439526,1414095,25091,0,28910811
2021-10-23,Delhi,1439566,1414141,25091,0,28971963
2021-10-24,Delhi,1439603,1414192,25091,0,29032667
2021-10-25,Delhi,1439630,1414232,25091,0,29079334
2021-10-26,Delhi,1439671,1414257,25091,0,29129536
2021-10-27,Delhi,1439709,1414270,25091,0,29189445
2021-10-28,Delhi,1439751,1414315,25091,0,29252619
2021-10-29,Delhi,1439788,1414363,25091,0,29311912
2021-10-30,Delhi,1439825,1414385,25091,0,29371002
2021-10-31,Delhi,1439870,1414431,25091,0,29427753
