Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-01,Manipur,120743,116653,1858,0,1303743
2021-10-02,Manipur,120879,116803,1860,0,1306267
2021-10-03,Manipur,121046,116922,1862,0,1308516
2021-10-04,Manipur,121146,117076,1868,0,1310471
2021-10-05,Manipur,121303,117708,1871,0,1313152
2021-10-06,Manipur,121462,117810,1875,0,1315733
2021-10-07,Manipur,121578,117950,1876,0,1318415
2021-10-08,Manipur,121706,118141,1882,0,1320833
2021-10-09,Manipur,121853,118255,1882,0,1323062
2021-10-10,Manipur,122003,118389,1885,0,1325082
2021-10-11,Manipur,122108,118516,1885,0,1326876
2021-10-12,Manipur,122228,118908,1887,0,1329193
2021-10-13,Manipur,122363,119015,1889,0,1331839
2021-10-14,Manipur,122432,119099,1889,0,1334619
2021-10-15,Manipur,122545,119208,1893,0,1337237
2021-10-16,Manipur,122633,119316,1895,0,1339247
2021-10-17,Manipur,122737,119418,1897,0,1341594
2021-10-18,Manipur,122804,119524,1897,0,1343052
2021-10-19,Manipur,122899,119640,1901,0,1345540
2021-10-20,Manipur,122970,119706,1904,0,1347621
2021-10-21,Manipur,123051,119800,1905,0,1349383
2021-10-22,Manipur,123107,120294,1907,0,1351047
2021-10-23,Manipur,123229,120361,1907,0,1353122
2021-10-24,Manipur,123292,120450,1911,0,1354886
2021-10-25,Manipur,123333,120534,1913,0,1356166
2021-10-26,Manipur,123403,120615,1915,0,1358295
2021-10-27,Manipur,123473,120712,1917,0,1360269
2021-10-28,Manipur,123526,120766,1918,0,1362098
2021-10-29,Manipur,123609,120819,1919,0,1364162
2021-10-30,Manipur,123668,121040,1920,0,1365984
2021-10-31,Manipur,123731,121102,1921,0,1367673
