Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-01,Andaman and Nicobar Islands,7621,7484,129,0,554312
2021-10-01,Andhra Pradesh,2051133,2025805,14186,0,28350167
2021-10-01,Arunachal Pradesh,54680,53974,277,0,1147645
2021-10-01,Assam,602466,592242,5876,1347,23610882
2021-10-01,Bihar,725961,716258,9661,1,46363965
2021-10-01,Chandigarh,65232,64377,819,0,741146
2021-10-01,Chhattisgarh,1005379,991536,13566,0,13149077
2021-10-01,Delhi,1438900,1413404,25087,0,27737167
2021-10-01,Dadra and Nagar Haveli and Daman and Diu,10673,10638,4,31,72410
2021-10-01,Goa,176515,172360,3317,0,1357968
2021-10-01,Gujarat,825952,815712,10082,0,29395645
2021-10-01,Himachal Pradesh,219244,213871,3663,16,3478166
2021-10-01,Haryana,770890,760738,9874,0,12447764
2021-10-01,Jharkhand,348238,343016,5135,0,14855543
2021-10-01,Jammu and Kashmir,329563,323801,4423,0,14905355
2021-10-01,Karnataka,2976589,2926284,37807,29,47745951
2021-10-01,Kerala,4694692,4526429,25182,529,35421046
2021-10-01,Ladakh,20809,20534,207,0,537474
2021-10-01,Lakshadweep,10361,10267,51,43,254795
2021-10-01,Maharashtra,6553961,6374892,139117,3581,58910564
2021-10-01,Meghalaya,81445,78375,1404,0,1078318
2021-10-01,Manipur,120743,116653,1858,0,1303743
2021-10-01,Madhya Pradesh,792542,781896,10522,0,18610813
2021-10-01,Mizoram,94830,79781,313,0,1097323
2021-10-01,Nagaland,31265,29254,666,998,373717
2021-10-01,Odisha,1026953,1013833,8255,0,20034245
2021-10-01,Punjab,601662,584865,16518,0,14571421
2021-10-01,Puducherry,126431,123800,1840,0,1802120
2021-10-01,Rajasthan,954331,945304,8954,0,14386527
2021-10-01,Sikkim,31482,30161,387,316,249879
2021-10-01,Telangana,666183,657665,3919,0,26425728
2021-10-01,Tamil Nadu,2665386,2612684,35603,0,47147671
2021-10-01,Tripura,84145,83033,810,63,1907164
2021-10-01,India,33789420,33061004,448605,13054,571994990
2021-10-01,Uttar Pradesh,1709835,1686784,22892,0,78764157
2021-10-01,Uttarakhand,343550,329893,7395,6100,7413081
2021-10-01,West Bengal,1569778,1543401,18806,0,18185322
2021-10-02,Andaman and Nicobar Islands,7622,7484,129,0,556135
2021-10-02,Andhra Pradesh,2051998,2027229,14195,0,28400471
2021-10-02,Arunachal Pradesh,54693,54011,277,0,1148853
2021-10-02,Assam,602712,592514,5880,1347,23655410
2021-10-02,Bihar,725965,716260,9661,1,46497471
2021-10-02,Chandigarh,65235,64383,819,0,743257
2021-10-02,Chhattisgarh,1005387,991556,13566,0,13165759
2021-10-02,Delhi,1438933,1413462,25088,0,27805529
2021-10-02,Dadra and Nagar Haveli and Daman and Diu,10673,10638,4,31,72410
2021-10-02,Goa,176594,172463,3317,0,1362664
2021-10-02,Gujarat,825979,815726,10082,0,29458583
